,Actual,Predicted,DATE,STATION_CODES,PredictedDelay,Predicted_Delay
2635,Mostly Cloudy,Mostly Cloudy,2005-03-18,3,No Delay,None
2636,Mostly Cloudy,Mostly Cloudy,2005-03-19,3,No Delay,None
2637,Mostly Cloudy,Mostly Cloudy,2005-03-20,3,No Delay,None
2638,Mostly Cloudy,Mostly Cloudy,2005-03-21,3,No Delay,None
2639,Rain,Mostly Cloudy,2005-03-22,3,No Delay,None
2640,Mostly Cloudy,Mostly Cloudy,2005-03-23,3,No Delay,None
2641,Rain and Snow,Rain,2005-03-24,3,No Delay,None
2642,Mostly Cloudy,Mostly Cloudy,2005-03-25,3,No Delay,None
2643,Rain,Rain,2005-03-26,3,No Delay,None
2644,Rain,Rain,2005-03-27,3,No Delay,None
2645,Mostly Cloudy,Mostly Cloudy,2005-03-28,3,No Delay,None
2646,Mostly Cloudy,Rain,2005-03-29,3,No Delay,None
2647,Mostly Cloudy,Mostly Cloudy,2005-03-30,3,No Delay,None
2648,Mostly Cloudy,Mostly Cloudy,2005-03-31,3,No Delay,None
2649,Mostly Cloudy,Rain,2005-04-01,3,No Delay,None
2650,Mostly Cloudy,Mostly Cloudy,2005-04-02,3,No Delay,None
2651,Rain,Rain,2005-04-03,3,No Delay,None
2652,Mostly Cloudy,Partly Cloudy,2005-04-04,3,No Delay,None
2653,Partly Cloudy,Mostly Cloudy,2005-04-05,3,No Delay,None
2654,Mostly Cloudy,Mostly Cloudy,2005-04-06,3,No Delay,None
2655,Mostly Cloudy,Mostly Cloudy,2005-04-07,3,No Delay,None
2656,Mostly Cloudy,Partly Cloudy,2005-04-08,3,No Delay,None
2657,Mostly Cloudy,Mostly Cloudy,2005-04-09,3,No Delay,None
2658,Partly Cloudy,Mostly Cloudy,2005-04-10,3,No Delay,None
2659,Mostly Cloudy,Partly Cloudy,2005-04-11,3,No Delay,None
2660,Mostly Cloudy,Fog,2005-04-12,3,Delay,Delay
2661,Mostly Cloudy,Mostly Cloudy,2005-04-13,3,No Delay,None
2662,Mostly Cloudy,Clear,2005-04-14,3,No Delay,None
2663,Mostly Cloudy,Mostly Cloudy,2005-04-15,3,No Delay,None
2664,Rain,Rain,2005-04-16,3,No Delay,None
2665,Mostly Cloudy,Rain,2005-04-17,3,No Delay,None
2666,Mostly Cloudy,Mostly Cloudy,2005-04-18,3,No Delay,None
2667,Mostly Cloudy,Mostly Cloudy,2005-04-19,3,No Delay,None
2668,Mostly Cloudy,Mostly Cloudy,2005-04-20,3,No Delay,None
2669,Mostly Cloudy,Mostly Cloudy,2005-04-21,3,No Delay,None
2670,Clear,Clear,2005-04-22,3,No Delay,None
2671,Mostly Cloudy,Mostly Cloudy,2005-04-23,3,No Delay,None
2672,Mostly Cloudy,Windy,2005-04-24,3,No Delay,None
2673,Mostly Cloudy,Mostly Cloudy,2005-04-25,3,No Delay,None
2674,Clear,Clear,2005-04-26,3,No Delay,None
2675,Partly Cloudy,Partly Cloudy,2005-04-27,3,No Delay,None
2676,Clear,Clear,2005-04-28,3,No Delay,None
2677,Mostly Cloudy,Mostly Cloudy,2005-04-29,3,No Delay,None
2678,Mostly Cloudy,Mostly Cloudy,2005-04-30,3,No Delay,None
2679,Mostly Cloudy,Partly Cloudy,2005-05-01,3,No Delay,None
2680,Mostly Cloudy,Mostly Cloudy,2005-05-02,3,No Delay,None
2681,Mostly Cloudy,Partly Cloudy,2005-05-03,3,No Delay,None
2682,Mostly Cloudy,Mostly Cloudy,2005-05-04,3,No Delay,None
2683,Mostly Cloudy,Mostly Cloudy,2005-05-05,3,No Delay,None
2684,Mostly Cloudy,Mostly Cloudy,2005-05-06,3,No Delay,None
2685,Mostly Cloudy,Partly Cloudy,2005-05-07,3,No Delay,None
2686,Mostly Cloudy,Mostly Cloudy,2005-05-08,3,No Delay,None
2687,Mostly Cloudy,Partly Cloudy,2005-05-09,3,No Delay,None
2688,Rain,Rain,2005-05-10,3,No Delay,None
2689,Mostly Cloudy,Hazy,2005-05-11,3,Delay,Delay
2690,Clear,Clear,2005-05-12,3,No Delay,None
2691,Mostly Cloudy,Mostly Cloudy,2005-05-13,3,No Delay,None
2692,Mostly Cloudy,Mostly Cloudy,2005-05-14,3,No Delay,None
2693,Rain,Rain,2005-05-15,3,No Delay,None
2694,Rain,Mostly Cloudy,2005-05-16,3,No Delay,None
2695,Mostly Cloudy,Mostly Cloudy,2005-05-17,3,No Delay,None
2696,Mostly Cloudy,Mostly Cloudy,2005-05-18,3,No Delay,None
2697,Mostly Cloudy,Mostly Cloudy,2005-05-19,3,No Delay,None
2698,Mostly Cloudy,Mostly Cloudy,2005-05-20,3,No Delay,None
2699,Clear,Mostly Cloudy,2005-05-21,3,No Delay,None
2700,Rain,Clear,2005-05-22,3,No Delay,None
2701,Clear,Clear,2005-05-23,3,No Delay,None
2702,Clear,Clear,2005-05-24,3,No Delay,None
2703,Clear,Clear,2005-05-25,3,No Delay,None
2704,Clear,Clear,2005-05-26,3,No Delay,None
2705,Clear,Partly Cloudy,2005-05-27,3,No Delay,None
2706,Clear,Mostly Cloudy,2005-05-28,3,No Delay,None
2707,Clear,Clear,2005-05-29,3,No Delay,None
2708,Clear,Clear,2005-05-30,3,No Delay,None
2709,Rain,Clear,2005-05-31,3,No Delay,None
2710,Mostly Cloudy,Mostly Cloudy,2005-06-01,3,No Delay,None
2711,Mostly Cloudy,Mostly Cloudy,2005-06-02,3,No Delay,None
2712,Mostly Cloudy,Mostly Cloudy,2005-06-03,3,No Delay,None
2713,Clear,Clear,2005-06-04,3,No Delay,None
2714,Mostly Cloudy,Mostly Cloudy,2005-06-05,3,No Delay,None
2715,Mostly Cloudy,Mostly Cloudy,2005-06-06,3,No Delay,None
2716,Mostly Cloudy,Mostly Cloudy,2005-06-07,3,No Delay,None
2717,Clear,Clear,2005-06-08,3,No Delay,None
2718,Clear,Fair,2005-06-09,3,No Delay,None
2719,Clear,Partly Cloudy,2005-06-10,3,No Delay,None
2720,Mostly Cloudy,Mostly Cloudy,2005-06-11,3,No Delay,None
2721,Mostly Cloudy,Mostly Cloudy,2005-06-12,3,No Delay,None
2722,Mostly Cloudy,Mostly Cloudy,2005-06-13,3,No Delay,None
2723,Clear,Mostly Cloudy,2005-06-14,3,No Delay,None
2724,Clear,Partly Cloudy,2005-06-15,3,No Delay,None
2725,Clear,Mostly Cloudy,2005-06-16,3,No Delay,None
2726,Mostly Cloudy,Mostly Cloudy,2005-06-17,3,No Delay,None
2727,Clear,Clear,2005-06-18,3,No Delay,None
2728,Clear,Partly Cloudy,2005-06-19,3,No Delay,None
2729,Clear,Partly Cloudy,2005-06-20,3,No Delay,None
2730,Clear,Clear,2005-06-21,3,No Delay,None
2731,Clear,Mostly Cloudy,2005-06-22,3,No Delay,None
2732,Clear,Clear,2005-06-23,3,No Delay,None
2733,Clear,Mostly Cloudy,2005-06-24,3,No Delay,None
2734,Clear,Clear,2005-06-25,3,No Delay,None
2735,Clear,Partly Cloudy,2005-06-26,3,No Delay,None
2736,Rain,Mostly Cloudy,2005-06-27,3,No Delay,None
2737,Mostly Cloudy,Mostly Cloudy,2005-06-28,3,No Delay,None
2738,Clear,Clear,2005-06-29,3,No Delay,None
2739,Clear,Windy,2005-06-30,3,No Delay,None
2740,Clear,Clear,2005-07-01,3,No Delay,None
2741,Clear,Partly Cloudy,2005-07-02,3,No Delay,None
2742,Clear,Partly Cloudy,2005-07-03,3,No Delay,None
2743,Clear,Partly Cloudy,2005-07-04,3,No Delay,None
2744,Clear,Mostly Cloudy,2005-07-05,3,No Delay,None
2745,Mostly Cloudy,Partly Cloudy,2005-07-06,3,No Delay,None
2746,Clear,Partly Cloudy,2005-07-07,3,No Delay,None
2747,Clear,Clear,2005-07-08,3,No Delay,None
2748,Mostly Cloudy,Mostly Cloudy,2005-07-09,3,No Delay,None
2749,Mostly Cloudy,Mostly Cloudy,2005-07-10,3,No Delay,None
2750,Clear,Clear,2005-07-11,3,No Delay,None
2751,Clear,Clear,2005-07-12,3,No Delay,None
2752,Clear,Clear,2005-07-13,3,No Delay,None
2753,Clear,Clear,2005-07-14,3,No Delay,None
2754,Clear,Clear,2005-07-15,3,No Delay,None
2755,Mostly Cloudy,Partly Cloudy,2005-07-16,3,No Delay,None
2756,Clear,Clear,2005-07-17,3,No Delay,None
2757,Clear,Clear,2005-07-18,3,No Delay,None
2758,Clear,Clear,2005-07-19,3,No Delay,None
2759,Clear,Clear,2005-07-20,3,No Delay,None
2760,Clear,Clear,2005-07-21,3,No Delay,None
2761,Clear,Clear,2005-07-22,3,No Delay,None
2762,Clear,Clear,2005-07-23,3,No Delay,None
2763,Clear,Clear,2005-07-24,3,No Delay,None
2764,Clear,Clear,2005-07-25,3,No Delay,None
2765,Clear,Clear,2005-07-26,3,No Delay,None
2766,Clear,Clear,2005-07-27,3,No Delay,None
2767,Clear,Clear,2005-07-28,3,No Delay,None
2768,Clear,Clear,2005-07-29,3,No Delay,None
2769,Clear,Partly Cloudy,2005-07-30,3,No Delay,None
2770,Clear,Partly Cloudy,2005-07-31,3,No Delay,None
2771,Clear,Partly Cloudy,2005-08-01,3,No Delay,None
2772,Clear,Clear,2005-08-02,3,No Delay,None
2773,Clear,Clear,2005-08-03,3,No Delay,None
2774,Clear,Clear,2005-08-04,3,No Delay,None
2775,Clear,Clear,2005-08-05,3,No Delay,None
2776,Clear,Clear,2005-08-06,3,No Delay,None
2777,Clear,Mostly Cloudy,2005-08-07,3,No Delay,None
2778,Clear,Clear,2005-08-08,3,No Delay,None
2779,Clear,Partly Cloudy,2005-08-09,3,No Delay,None
2780,Clear,Clear,2005-08-10,3,No Delay,None
2781,Clear,Clear,2005-08-11,3,No Delay,None
2782,Clear,Clear,2005-08-12,3,No Delay,None
2783,Clear,Clear,2005-08-13,3,No Delay,None
2784,Clear,Clear,2005-08-14,3,No Delay,None
2785,Clear,Clear,2005-08-15,3,No Delay,None
2786,Clear,Partly Cloudy,2005-08-16,3,No Delay,None
2787,Mostly Cloudy,Mostly Cloudy,2005-08-17,3,No Delay,None
2788,Clear,Clear,2005-08-18,3,No Delay,None
2789,Clear,Partly Cloudy,2005-08-19,3,No Delay,None
2790,Clear,Clear,2005-08-20,3,No Delay,None
2791,Clear,Mostly Cloudy,2005-08-21,3,No Delay,None
2792,Clear,Mostly Cloudy,2005-08-22,3,No Delay,None
2793,Clear,Mostly Cloudy,2005-08-23,3,No Delay,None
2794,Clear,Clear,2005-08-24,3,No Delay,None
2795,Clear,Clear,2005-08-25,3,No Delay,None
2796,Clear,Clear,2005-08-26,3,No Delay,None
2797,Clear,Clear,2005-08-27,3,No Delay,None
2798,Clear,Clear,2005-08-28,3,No Delay,None
2799,Mostly Cloudy,Partly Cloudy,2005-08-29,3,No Delay,None
2800,Mostly Cloudy,Partly Cloudy,2005-08-30,3,No Delay,None
2801,Clear,Clear,2005-08-31,3,No Delay,None
2802,Clear,Partly Cloudy,2005-09-01,3,No Delay,None
2803,Clear,Mostly Cloudy,2005-09-02,3,No Delay,None
2804,Clear,Partly Cloudy,2005-09-03,3,No Delay,None
2805,Clear,Mostly Cloudy,2005-09-04,3,No Delay,None
2806,Clear,Mostly Cloudy,2005-09-05,3,No Delay,None
2807,Clear,Mostly Cloudy,2005-09-06,3,No Delay,None
2808,Clear,Clear,2005-09-07,3,No Delay,None
2809,Clear,Clear,2005-09-08,3,No Delay,None
2810,Mostly Cloudy,Mostly Cloudy,2005-09-09,3,No Delay,None
2811,Mostly Cloudy,Mostly Cloudy,2005-09-10,3,No Delay,None
2812,Clear,Clear,2005-09-11,3,No Delay,None
2813,Mostly Cloudy,Mostly Cloudy,2005-09-12,3,No Delay,None
2814,Clear,Clear,2005-09-13,3,No Delay,None
2815,Clear,Clear,2005-09-14,3,No Delay,None
2816,Clear,Clear,2005-09-15,3,No Delay,None
2817,Clear,Mostly Cloudy,2005-09-16,3,No Delay,None
2818,Mostly Cloudy,Mostly Cloudy,2005-09-17,3,No Delay,None
2819,Clear,Clear,2005-09-18,3,No Delay,None
2820,Clear,Clear,2005-09-19,3,No Delay,None
2821,Clear,Clear,2005-09-20,3,No Delay,None
2822,Clear,Clear,2005-09-21,3,No Delay,None
2823,Mostly Cloudy,Mostly Cloudy,2005-09-22,3,No Delay,None
2824,Mostly Cloudy,Partly Cloudy,2005-09-23,3,No Delay,None
2825,Clear,Clear,2005-09-24,3,No Delay,None
2826,Clear,Clear,2005-09-25,3,No Delay,None
2827,Clear,Clear,2005-09-26,3,No Delay,None
2828,Clear,Clear,2005-09-27,3,No Delay,None
2829,Clear,Clear,2005-09-28,3,No Delay,None
2830,Rain,Mostly Cloudy,2005-09-29,3,No Delay,None
2831,Rain,Rain,2005-09-30,3,No Delay,None
2832,Rain,Snow,2005-10-01,3,Delay,Delay
2833,Mostly Cloudy,Mostly Cloudy,2005-10-02,3,No Delay,None
2834,Mostly Cloudy,Mostly Cloudy,2005-10-03,3,No Delay,None
2835,Mostly Cloudy,Mostly Cloudy,2005-10-04,3,No Delay,None
2836,Mostly Cloudy,Fog,2005-10-05,3,Delay,Delay
2837,Mostly Cloudy,Mostly Cloudy,2005-10-06,3,No Delay,None
2838,Mostly Cloudy,Mostly Cloudy,2005-10-07,3,No Delay,None
2839,Clear,Mostly Cloudy,2005-10-08,3,No Delay,None
2840,Clear,Mostly Cloudy,2005-10-09,3,No Delay,None
2841,Mostly Cloudy,Mostly Cloudy,2005-10-10,3,No Delay,None
2842,Mostly Cloudy,Mostly Cloudy,2005-10-11,3,No Delay,None
2843,Mostly Cloudy,Mostly Cloudy,2005-10-12,3,No Delay,None
2844,Mostly Cloudy,Fog,2005-10-13,3,Delay,Delay
2845,Partly Cloudy,Mostly Cloudy,2005-10-14,3,No Delay,None
2846,Clear,Mostly Cloudy,2005-10-15,3,No Delay,None
2847,Mostly Cloudy,Mostly Cloudy,2005-10-16,3,No Delay,None
2848,Partly Cloudy,Partly Cloudy,2005-10-17,3,No Delay,None
2849,Mostly Cloudy,Fog,2005-10-18,3,Delay,Delay
2850,Mostly Cloudy,Mostly Cloudy,2005-10-19,3,No Delay,None
2851,Mostly Cloudy,Mostly Cloudy,2005-10-20,3,No Delay,None
2852,Clear,Clear,2005-10-21,3,No Delay,None
2853,Clear,Clear,2005-10-22,3,No Delay,None
2854,Partly Cloudy,Mostly Cloudy,2005-10-23,3,No Delay,None
2855,Mostly Cloudy,Partly Cloudy,2005-10-24,3,No Delay,None
2856,Clear,Partly Cloudy,2005-10-25,3,No Delay,None
2857,Rain,Mostly Cloudy,2005-10-26,3,No Delay,None
2858,Mostly Cloudy,Clear,2005-10-27,3,No Delay,None
2859,Mostly Cloudy,Mostly Cloudy,2005-10-28,3,No Delay,None
2860,Mostly Cloudy,Mostly Cloudy,2005-10-29,3,No Delay,None
2861,Mostly Cloudy,Mostly Cloudy,2005-10-30,3,No Delay,None
2862,Rain,Rain,2005-10-31,3,No Delay,None
2863,Mostly Cloudy,Rain,2005-11-01,3,No Delay,None
2864,Mostly Cloudy,Mostly Cloudy,2005-11-02,3,No Delay,None
2865,Mostly Cloudy,Fog,2005-11-03,3,Delay,Delay
2866,Mostly Cloudy,Mostly Cloudy,2005-11-04,3,No Delay,None
2867,Mostly Cloudy,Mostly Cloudy,2005-11-05,3,No Delay,None
2868,Mostly Cloudy,Mostly Cloudy,2005-11-06,3,No Delay,None
2869,Rain,Rain,2005-11-07,3,No Delay,None
2870,Clear,Clear,2005-11-08,3,No Delay,None
2871,Partly Cloudy,Clear,2005-11-09,3,No Delay,None
2872,Mostly Cloudy,Clear,2005-11-10,3,No Delay,None
2873,Mostly Cloudy,Rain,2005-11-11,3,No Delay,None
2874,Mostly Cloudy,Partly Cloudy,2005-11-12,3,No Delay,None
2875,Rain,Mostly Cloudy,2005-11-13,3,No Delay,None
2876,Clear,Partly Cloudy,2005-11-14,3,No Delay,None
2877,Mostly Cloudy,Partly Cloudy,2005-11-15,3,No Delay,None
2878,Mostly Cloudy,Mostly Cloudy,2005-11-16,3,No Delay,None
2879,Clear,Clear,2005-11-17,3,No Delay,None
2880,Fog,Mostly Cloudy,2005-11-18,3,No Delay,None
2881,Mostly Cloudy,Mostly Cloudy,2005-11-19,3,No Delay,None
2882,Mostly Cloudy,Mostly Cloudy,2005-11-20,3,No Delay,None
2883,Mostly Cloudy,Mostly Cloudy,2005-11-21,3,No Delay,None
2884,Mostly Cloudy,Fog,2005-11-22,3,Delay,Delay
2885,Mostly Cloudy,Snow,2005-11-23,3,Delay,Delay
2886,Mostly Cloudy,Snow,2005-11-24,3,Delay,Delay
2887,Rain and Snow,Rain,2005-11-25,3,No Delay,None
2888,Mostly Cloudy,Mostly Cloudy,2005-11-26,3,No Delay,None
2889,Mostly Cloudy,Mostly Cloudy,2005-11-27,3,No Delay,None
2890,Fog,Fog,2005-11-28,3,Delay,Delay
2891,Rain and Snow,Fog,2005-11-29,3,Delay,Delay
2892,Mostly Cloudy,Fog,2005-11-30,3,Delay,Delay
2893,Mostly Cloudy,Rain,2005-12-01,3,No Delay,None
2894,Mostly Cloudy,Rain,2005-12-02,3,No Delay,None
2895,Mostly Cloudy,Mostly Cloudy,2005-12-03,3,No Delay,None
2896,Mostly Cloudy,Partly Cloudy,2005-12-04,3,No Delay,None
2897,Mostly Cloudy,Mostly Cloudy,2005-12-05,3,No Delay,None
2898,Mostly Cloudy,Mostly Cloudy,2005-12-06,3,No Delay,None
2899,Mostly Cloudy,Mostly Cloudy,2005-12-07,3,No Delay,None
2900,Mostly Cloudy,Mostly Cloudy,2005-12-08,3,No Delay,None
2901,Mostly Cloudy,Mostly Cloudy,2005-12-09,3,No Delay,None
2902,Mostly Cloudy,Mostly Cloudy,2005-12-10,3,No Delay,None
2903,Fog,Mostly Cloudy,2005-12-11,3,No Delay,None
2904,Fog,Mostly Cloudy,2005-12-12,3,No Delay,None
2905,Fog,Fog,2005-12-13,3,Delay,Delay
2906,Fog,Fog,2005-12-14,3,Delay,Delay
2907,Mostly Cloudy,Fog,2005-12-15,3,Delay,Delay
2908,Mostly Cloudy,Fog,2005-12-16,3,Delay,Delay
2909,Mostly Cloudy,Fog,2005-12-17,3,Delay,Delay
2910,Mostly Cloudy,Mostly Cloudy,2005-12-18,3,No Delay,None
2911,Mostly Cloudy,Mostly Cloudy,2005-12-19,3,No Delay,None
2912,Mostly Cloudy,Partly Cloudy,2005-12-20,3,No Delay,None
2913,Mostly Cloudy,Rain,2005-12-21,3,No Delay,None
2914,Rain,Mostly Cloudy,2005-12-22,3,No Delay,None
2915,Mostly Cloudy,Partly Cloudy,2005-12-23,3,No Delay,None
2916,Mostly Cloudy,Windy,2005-12-24,3,No Delay,None
2917,Rain,Rain,2005-12-25,3,No Delay,None
2918,Rain,Mostly Cloudy,2005-12-26,3,No Delay,None
2919,Rain,Rain,2005-12-27,3,No Delay,None
2920,Rain,Snow,2005-12-28,3,Delay,Delay
2921,Mostly Cloudy,Mostly Cloudy,2005-12-29,3,No Delay,None
2922,Rain,Rain,2005-12-30,3,No Delay,None
2923,Rain,Rain,2005-12-31,3,No Delay,None
2924,Rain,Rain,2004-01-01,4,No Delay,None
2925,Rain,Rain,2004-01-02,4,No Delay,None
2926,Mostly Cloudy,Snow,2004-01-03,4,Delay,Delay
2927,Mostly Cloudy,Mostly Cloudy,2004-01-04,4,No Delay,None
2928,Mostly Cloudy,Mostly Cloudy,2004-01-05,4,No Delay,None
2929,Snow,Rain,2004-01-06,4,No Delay,None
2930,Rain,Rain,2004-01-07,4,No Delay,None
2931,Rain,Rain,2004-01-08,4,No Delay,None
2932,Rain,Rain,2004-01-09,4,No Delay,None
2933,Mostly Cloudy,Mostly Cloudy,2004-01-10,4,No Delay,None
2934,Mostly Cloudy,Mostly Cloudy,2004-01-11,4,No Delay,None
2935,Mostly Cloudy,Mostly Cloudy,2004-01-12,4,No Delay,None
2936,Mostly Cloudy,Mostly Cloudy,2004-01-13,4,No Delay,None
2937,Rain,Rain,2004-01-14,4,No Delay,None
2938,Mostly Cloudy,Mostly Cloudy,2004-01-15,4,No Delay,None
2939,Clear,Mostly Cloudy,2004-01-16,4,No Delay,None
2940,Mostly Cloudy,Mostly Cloudy,2004-01-17,4,No Delay,None
2941,Rain,Rain,2004-01-18,4,No Delay,None
2942,Rain,Rain,2004-01-19,4,No Delay,None
2943,Fog,Mostly Cloudy,2004-01-20,4,No Delay,None
2944,Clear,Clear,2004-01-21,4,No Delay,None
2945,Rain,Rain,2004-01-22,4,No Delay,None
2946,Rain,Rain,2004-01-23,4,No Delay,None
2947,Rain,Rain,2004-01-24,4,No Delay,None
2948,Rain,Mostly Cloudy,2004-01-25,4,No Delay,None
2949,Rain,Rain,2004-01-26,4,No Delay,None
2950,Mostly Cloudy,Mostly Cloudy,2004-01-27,4,No Delay,None
2951,Rain,Rain,2004-01-28,4,No Delay,None
2952,Rain,Rain,2004-01-29,4,No Delay,None
2953,Rain,Mostly Cloudy,2004-01-30,4,No Delay,None
2954,Rain,Rain,2004-01-31,4,No Delay,None
2955,Clear,Mostly Cloudy,2004-02-01,4,No Delay,None
2956,Rain,Rain,2004-02-02,4,No Delay,None
2957,Rain,Rain,2004-02-03,4,No Delay,None
2958,Mostly Cloudy,Mostly Cloudy,2004-02-04,4,No Delay,None
2959,Mostly Cloudy,Clear,2004-02-05,4,No Delay,None
2960,Rain,Rain,2004-02-06,4,No Delay,None
2961,Mostly Cloudy,Clear,2004-02-07,4,No Delay,None
2962,Mostly Cloudy,Mostly Cloudy,2004-02-08,4,No Delay,None
2963,Clear,Clear,2004-02-09,4,No Delay,None
2964,Clear,Clear,2004-02-10,4,No Delay,None
2965,Clear,Clear,2004-02-11,4,No Delay,None
2966,Clear,Clear,2004-02-12,4,No Delay,None
2967,Rain,Mostly Cloudy,2004-02-13,4,No Delay,None
2968,Rain,Rain,2004-02-14,4,No Delay,None
2969,Rain,Clear,2004-02-15,4,No Delay,None
2970,Rain,Rain,2004-02-16,4,No Delay,None
2971,Mostly Cloudy,Mostly Cloudy,2004-02-17,4,No Delay,None
2972,Rain,Rain,2004-02-18,4,No Delay,None
2973,Mostly Cloudy,Partly Cloudy,2004-02-19,4,No Delay,None
2974,Clear,Clear,2004-02-20,4,No Delay,None
2975,Mostly Cloudy,Mostly Cloudy,2004-02-21,4,No Delay,None
2976,Mostly Cloudy,Mostly Cloudy,2004-02-22,4,No Delay,None
2977,Mostly Cloudy,Mostly Cloudy,2004-02-23,4,No Delay,None
2978,Rain,Rain,2004-02-24,4,No Delay,None
2979,Mostly Cloudy,Mostly Cloudy,2004-02-25,4,No Delay,None
2980,Rain,Rain,2004-02-26,4,No Delay,None
2981,Rain,Rain,2004-02-27,4,No Delay,None
2982,Mostly Cloudy,Mostly Cloudy,2004-02-28,4,No Delay,None
2983,Rain,Rain,2004-02-29,4,No Delay,None
2984,Mostly Cloudy,Clear,2004-03-01,4,No Delay,None
2985,Mostly Cloudy,Mostly Cloudy,2004-03-02,4,No Delay,None
2986,Rain,Rain,2004-03-03,4,No Delay,None
2987,Mostly Cloudy,Mostly Cloudy,2004-03-04,4,No Delay,None
2988,Rain,Rain,2004-03-05,4,No Delay,None
2989,Mostly Cloudy,Mostly Cloudy,2004-03-06,4,No Delay,None
2990,Mostly Cloudy,Mostly Cloudy,2004-03-07,4,No Delay,None
2991,Clear,Mostly Cloudy,2004-03-08,4,No Delay,None
2992,Mostly Cloudy,Mostly Cloudy,2004-03-09,4,No Delay,None
2993,Clear,Clear,2004-03-10,4,No Delay,None
2994,Clear,Mostly Cloudy,2004-03-11,4,No Delay,None
2995,Mostly Cloudy,Mostly Cloudy,2004-03-12,4,No Delay,None
2996,Mostly Cloudy,Mostly Cloudy,2004-03-13,4,No Delay,None
2997,Mostly Cloudy,Mostly Cloudy,2004-03-14,4,No Delay,None
2998,Mostly Cloudy,Mostly Cloudy,2004-03-15,4,No Delay,None
2999,Mostly Cloudy,Clear,2004-03-16,4,No Delay,None
3000,Mostly Cloudy,Mostly Cloudy,2004-03-17,4,No Delay,None
3001,Rain,Rain,2004-03-18,4,No Delay,None
3002,Clear,Partly Cloudy,2004-03-19,4,No Delay,None
3003,Clear,Mostly Cloudy,2004-03-20,4,No Delay,None
3004,Clear,Mostly Cloudy,2004-03-21,4,No Delay,None
3005,Mostly Cloudy,Mostly Cloudy,2004-03-22,4,No Delay,None
3006,Mostly Cloudy,Mostly Cloudy,2004-03-23,4,No Delay,None
3007,Rain,Rain,2004-03-24,4,No Delay,None
3008,Rain,Rain,2004-03-25,4,No Delay,None
3009,Rain,Rain,2004-03-26,4,No Delay,None
3010,Mostly Cloudy,Mostly Cloudy,2004-03-27,4,No Delay,None
3011,Clear,Clear,2004-03-28,4,No Delay,None
3012,Clear,Mostly Cloudy,2004-03-29,4,No Delay,None
3013,Mostly Cloudy,Rain,2004-03-30,4,No Delay,None
3014,Clear,Mostly Cloudy,2004-03-31,4,No Delay,None
3015,Clear,Clear,2004-04-01,4,No Delay,None
3016,Clear,Clear,2004-04-02,4,No Delay,None
3017,Clear,Clear,2004-04-03,4,No Delay,None
3018,Mostly Cloudy,Mostly Cloudy,2004-04-04,4,No Delay,None
3019,Mostly Cloudy,Mostly Cloudy,2004-04-05,4,No Delay,None
3020,Mostly Cloudy,Mostly Cloudy,2004-04-06,4,No Delay,None
3021,Mostly Cloudy,Rain,2004-04-07,4,No Delay,None
3022,Mostly Cloudy,Mostly Cloudy,2004-04-08,4,No Delay,None
3023,Clear,Clear,2004-04-09,4,No Delay,None
3024,Clear,Clear,2004-04-10,4,No Delay,None
3025,Mostly Cloudy,Clear,2004-04-11,4,No Delay,None
3026,Mostly Cloudy,Mostly Cloudy,2004-04-12,4,No Delay,None
3027,Mostly Cloudy,Mostly Cloudy,2004-04-13,4,No Delay,None
3028,Rain,Rain,2004-04-14,4,No Delay,None
3029,Rain,Rain,2004-04-15,4,No Delay,None
3030,Mostly Cloudy,Mostly Cloudy,2004-04-16,4,No Delay,None
3031,Mostly Cloudy,Mostly Cloudy,2004-04-17,4,No Delay,None
3032,Rain,Mostly Cloudy,2004-04-18,4,No Delay,None
3033,Rain,Rain,2004-04-19,4,No Delay,None
3034,Rain,Rain,2004-04-20,4,No Delay,None
3035,Clear,Mostly Cloudy,2004-04-21,4,No Delay,None
3036,Clear,Mostly Cloudy,2004-04-22,4,No Delay,None
3037,Clear,Clear,2004-04-23,4,No Delay,None
3038,Clear,Clear,2004-04-24,4,No Delay,None
3039,Clear,Clear,2004-04-25,4,No Delay,None
3040,Clear,Clear,2004-04-26,4,No Delay,None
3041,Mostly Cloudy,Mostly Cloudy,2004-04-27,4,No Delay,None
3042,Clear,Clear,2004-04-28,4,No Delay,None
3043,Clear,Clear,2004-04-29,4,No Delay,None
3044,Clear,Clear,2004-04-30,4,No Delay,None
3045,Mostly Cloudy,Mostly Cloudy,2004-05-01,4,No Delay,None
3046,Mostly Cloudy,Mostly Cloudy,2004-05-02,4,No Delay,None
3047,Mostly Cloudy,Mostly Cloudy,2004-05-03,4,No Delay,None
3048,Mostly Cloudy,Mostly Cloudy,2004-05-04,4,No Delay,None
3049,Mostly Cloudy,Mostly Cloudy,2004-05-05,4,No Delay,None
3050,Clear,Mostly Cloudy,2004-05-06,4,No Delay,None
3051,Mostly Cloudy,Mostly Cloudy,2004-05-07,4,No Delay,None
3052,Clear,Partly Cloudy,2004-05-08,4,No Delay,None
3053,Mostly Cloudy,Mostly Cloudy,2004-05-09,4,No Delay,None
3054,Mostly Cloudy,Mostly Cloudy,2004-05-10,4,No Delay,None
3055,Mostly Cloudy,Mostly Cloudy,2004-05-11,4,No Delay,None
3056,Mostly Cloudy,Mostly Cloudy,2004-05-12,4,No Delay,None
3057,Clear,Partly Cloudy,2004-05-13,4,No Delay,None
